"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 13:46:09 GMT 2024","Fri Mar 08 13:46:09 GMT 2024","119","Download loan application","","","","","Download loan application - Invalid Token",""
"passed","Fri Mar 08 13:45:36 GMT 2024","Fri Mar 08 13:45:36 GMT 2024","123","implement  a Filter - ( search filter by at least 2 fields)","","","","","filter by queryString: implement  a Filter - ( search filter by at least 2 fields)",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:47 GMT 2024","117","Sponsored Product","Create Sponsored Product Campaign","","","","Loans- Create Sponsor Product Campaign invalid category id",""
"passed","Fri Mar 08 13:44:51 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","114","Sponsored Product","Get All Category Campaigns per Product","","","","Get Savings Campaign Product",""
"passed","Fri Mar 08 13:44:51 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","112","Sponsored Product","Get All Category Campaigns per Product","","","","Get Loan Campaigns Product",""
"passed","Fri Mar 08 13:45:16 GMT 2024","Fri Mar 08 13:45:16 GMT 2024","264","Loan Application lists","","","","","Validate the number of rows returned - Get Loans Application List",""
"passed","Fri Mar 08 13:44:48 GMT 2024","Fri Mar 08 13:44:48 GMT 2024","113","Sponsored Product","Create Sponsored Product Campaign","","","","Savings - Create Sponsor Product Campaign invalid category id",""
"passed","Fri Mar 08 13:44:45 GMT 2024","Fri Mar 08 13:44:46 GMT 2024","746","AUTH","","","","","Admin console auth",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:48 GMT 2024","114","Sponsored Product","Create Sponsored Product Campaign","","","","Savings - Create Sponsor Product Campaign Empty Productid",""
"passed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:50 GMT 2024","129","Sponsored Product","Get Single Record","","","","Get a Single Record Loan",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:47 GMT 2024","115","Sponsored Product","Create Sponsored Product Campaign","","","","Loans- Create Sponsor Product Campaign All fields empty",""
"failed","Fri Mar 08 13:44:49 GMT 2024","Fri Mar 08 13:44:49 GMT 2024","124","Sponsored Product","Set Sponsored Product Campaign Status","","","","Set Loan Sponsored Product Campaign invalid sponsoredProductId",""
"passed","Fri Mar 08 13:44:51 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","84","Loan Application","","","","","No Token- Get Loans Application List",""
"failed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:50 GMT 2024","114","Sponsored Product","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign Invalid SponsoredProductId",""
"passed","Fri Mar 08 13:45:29 GMT 2024","Fri Mar 08 13:45:35 GMT 2024","5541","Invoice page","","","","","Api for get list for create invoice",""
"passed","Fri Mar 08 13:45:35 GMT 2024","Fri Mar 08 13:45:35 GMT 2024","84","Invoice page","","","","","Invalid authorization: Api for get list for create invoice Copy",""
"failed","Fri Mar 08 13:44:53 GMT 2024","Fri Mar 08 13:44:53 GMT 2024","173","Loan Application lists","","","","","Get-customer-application-details",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:47 GMT 2024","138","Sponsored Product","Create Sponsored Product Campaign","","","","Loans- Create Sponsor Product Campaign Copy without expireindays",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:47 GMT 2024","120","Sponsored Product","Create Sponsored Product Campaign","","","","Loans- Create Sponsor Product Campaign invalid produt id",""
"passed","Fri Mar 08 13:45:18 GMT 2024","Fri Mar 08 13:45:19 GMT 2024","915","Account datails configuration status","API to validate account number by external API (Paystack)","","","","Invalid accountNo - API to validate account number by external API (Paystack)",""
"passed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:50 GMT 2024","110","Sponsored Product","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign All Fields Empty",""
"passed","Fri Mar 08 13:45:16 GMT 2024","Fri Mar 08 13:45:16 GMT 2024","263","Loan Application lists","","","","","Empty Application Types - Get Loans Application List",""
"passed","Fri Mar 08 13:45:35 GMT 2024","Fri Mar 08 13:45:35 GMT 2024","128","Sign up","Add middle name field to the profile page endpoint on customer dashboard","","","","Invalid customer ID: Add middle name field to the profile page endpoint on customer dashboard",""
"passed","Fri Mar 08 13:45:17 GMT 2024","Fri Mar 08 13:45:17 GMT 2024","115","Role and permission","","","","","Return users by role/permissions-  invalid role ID",""
"passed","Fri Mar 08 13:44:47 GMT 2024","Fri Mar 08 13:44:47 GMT 2024","111","Sponsored Product","Create Sponsored Product Campaign","","","","Loans- Create Sponsor Product Campaign without product id",""
"passed","Fri Mar 08 13:45:35 GMT 2024","Fri Mar 08 13:45:35 GMT 2024","193","Sign up","Add middle name field to the profile page endpoint on customer dashboard","","","","Add middle name field to the profile page endpoint on customer dashboard",""
"passed","Fri Mar 08 13:45:01 GMT 2024","Fri Mar 08 13:45:15 GMT 2024","13643","Loan Application lists","","","","","update-common-application-status-by-admin",""
"passed","Fri Mar 08 13:44:51 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","86","Loan Application","","","","","Invalid Token - Get Loans Application List",""
"passed","Fri Mar 08 13:44:48 GMT 2024","Fri Mar 08 13:44:48 GMT 2024","118","Sponsored Product","Update Sponsored Product Campaign","","","","Loan- Update Sponsor Product Campaign invalid SponsoredProductId Copy",""
"passed","Fri Mar 08 13:44:51 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","118","Sponsored Product","Get Savings Product Data","","","","Get SavingProductData - Wrong ProductID",""
"passed","Fri Mar 08 13:44:52 GMT 2024","Fri Mar 08 13:44:53 GMT 2024","1347","Loan Application lists","","","","","single endpoint for application listing pages of Savings, Loan and FD Applications",""
"passed","Fri Mar 08 13:45:36 GMT 2024","Fri Mar 08 13:45:37 GMT 2024","130","Search account details by provider","","","","","Search account details by provider",""
"passed","Fri Mar 08 13:45:29 GMT 2024","Fri Mar 08 13:45:29 GMT 2024","115","Account datails configuration status","Account Details Configuration Statuses (Enums)","","","","endpoint for Account Details Configuration Statuses (Enums)",""
"passed","Fri Mar 08 13:45:19 GMT 2024","Fri Mar 08 13:45:20 GMT 2024","1644","Account datails configuration status","API to validate account number by external API (Paystack)","","","","Invalid Bank Code- API to validate account number by external API (Paystack)",""
"passed","Fri Mar 08 13:45:36 GMT 2024","Fri Mar 08 13:45:36 GMT 2024","125","implement  a Filter - ( search filter by at least 2 fields)","","","","","filter by accountName: implement  a Filter - ( search filter by at least 2 fields)",""
"passed","Fri Mar 08 13:44:48 GMT 2024","Fri Mar 08 13:44:48 GMT 2024","109","Sponsored Product","Create Sponsored Product Campaign","","","","Savings - Create Sponsor Product Campaign All fields Empty",""
"passed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:50 GMT 2024","115","Sponsored Product","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign Empty SponsoredProductId",""
"passed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:50 GMT 2024","109","Sponsored Product","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign Empty SponsoredProductEnabled",""
"passed","Fri Mar 08 13:45:16 GMT 2024","Fri Mar 08 13:45:16 GMT 2024","253","Loan Application lists","","","","","Get Loans Application List",""
"passed","Fri Mar 08 13:45:17 GMT 2024","Fri Mar 08 13:45:17 GMT 2024","152","Role and permission","","","","","API to return users by role/permissions",""
"passed","Fri Mar 08 13:44:46 GMT 2024","Fri Mar 08 13:44:46 GMT 2024","87","AUTH","","","","","Admin console auth Invalid password email",""
"passed","Fri Mar 08 13:45:37 GMT 2024","Fri Mar 08 13:45:37 GMT 2024","119","Search account details by provider","","","","","Invalid providerId: Search account details by provider",""
"passed","Fri Mar 08 13:45:17 GMT 2024","Fri Mar 08 13:45:17 GMT 2024","150","Product page","","","","","API to search savings products by params",""
"passed","Fri Mar 08 13:45:36 GMT 2024","Fri Mar 08 13:45:36 GMT 2024","140","implement  a Filter - ( search filter by at least 2 fields)","","","","","filter by providerName: implement  a Filter - ( search filter by at least 2 fields)",""
"passed","Fri Mar 08 13:44:53 GMT 2024","Fri Mar 08 13:45:01 GMT 2024","7757","Loan Application lists","","","","","download-customer-application-pdf",""
"passed","Fri Mar 08 13:45:35 GMT 2024","Fri Mar 08 13:45:35 GMT 2024","135","implement  a Filter - ( search filter by at least 2 fields)","","","","","implement  a Filter - ( search filter by at least 2 fields)",""
"passed","Fri Mar 08 13:44:50 GMT 2024","Fri Mar 08 13:44:51 GMT 2024","129","Sponsored Product","Get-loan-product","","","","get-loan-product",""
